ID,Keyword,Source,URL,Title,Subtitle,Summary,Rating,MemberOnly,Date,Reactions (number format),Sentiment Analysis
154,copilot,Medium,https://medium.com/towards-data-science/how-github-copilot-simplified-my-life-as-a-data-scientist-1fb00f46eced,How GitHub Copilot Simplified My Life as a Data Scientist,An AI code writing assistant that you should try at least once,"If you have been following the recent tech news, you might have heard about GitHub Copilot, an AI-based programming assistant. It's well and good if you are already using it, if not, keep reading!",157,True,"May 09, 2022",157,Positive
155,chatgpt AND code,Medium,https://keith-mcnulty.medium.com/things-the-new-chatgpt-chatbot-is-good-at-and-terrible-at-8666b0ba472b,Things the New ChatGPT ChatBot Is Good At and Terrible At,Getting behind the hype,"Any of you who have been following Data Science and AI on Social Media over the past week will have seen no shortage of examples and comments about OpenAI’s new ChatGPT chatbot. Once you play around with it (which as a research release you can do for free here), you’ll see that there is some truth to the hype. The model has certainly moved up a step in its ability to mimic general conversation, provide useful information on many topics, put together a coherent argument and operate in many languages (including programming languages).",157,True,,157,Positive
156,tabnine,Medium,https://saneryee-studio.medium.com/github-copilot-autocomplete-terminator-57676d2ca754?source=user_profile---------14----------------------------,GitHub Copilot: The Autocomplete Terminator,Testing how Copilot fares in comparison to other AI tools,"In the previous article: AI: Self-Programming, Is it Far From Us?, we have discussed the current AI auto-completion tools. In that article, I mentioned that perhaps The GitHub Copilot is the future of programmers — AI Programming Assistant.",157,True,,157,Positive
157,codewhisperer,Medium,https://cmani.medium.com/using-amazon-kendra-to-help-answer-10th-standard-science-questions-for-my-daughter-20e1b7cf30e,Using Amazon Kendra to help answer 10th (and 12th) standard science questions for my daughter ..,,"This is a very short blog, with lots of screenshots and very less write-up.",154,False,"May 20, 2020",154,Positive
158,copilot,Medium,https://medium.com/@sushrit.pk21/chatgpt-copilot-and-the-future-of-coding-interviews-a-technical-founders-perspective-8628c7102a9b,"ChatGPT, Copilot and the future of Coding Interviews — A Technical Founder’s Perspective",,Part 2 is live now:,154,False,"Dec 11, 2022",154,Positive
159,codewhisperer,Medium,https://mcsee.medium.com/chatgpt-the-surprising-teacher-of-a-25-year-senior-programmer-87c3af74f804?source=author_recirc-----89200745e3c6----1----------------------------,ChatGPT: The Surprising Teacher of a +25 Year Senior Programmer,"My original title was: ‘I have +25 Years of Programming and Yet, ChatGPT is Teaching me New Things’, but ChatGPT changed it.",I’ve been working as a software developer for 26 years and I’ve also been teaching at the university at the same time.,150,False,"Jan 26, 2023",150,Positive
160,chatgpt AND code,Medium,https://weimenglee.medium.com/interfacing-chatgpt-with-python-824be63dfa2f?source=user_profile---------2----------------------------,Interfacing ChatGPT with Python,Build conversational chatbots using the OpenAI API,"By now you should have heard of ChatGPT (Chat Generative Pre-trained Transformer) — a chatbot developed by OpenAI. Launched in Nov 2022, ChatGPT was built on top of OpenAI’s GPT-3 (specifically GPT-3.5) family of Large Language Models (LLMs) and fine-tuned using both supervised and reinforcement learning techniques. Since then, ChatGPT has sparked an AI craze, reaching 100 million users just two months after its launch.",149,True,,149,Positive
161,copilot,Medium,https://avi-soori.medium.com/build-your-own-ai-coding-assistant-with-databricks-using-visual-studio-code-and-github-copilot-50643317082f,Build your own AI Coding Assistant with Databricks using Visual Studio Code and GitHub Copilot,,"Tools built with large language models are revolutionizing the way we interact with systems and GitHub Copilot, powered by OpenAI’s Codex, is a great example. Particularly, paired with all the nice features developers love about Visual Studio Code, Copilot offers a compelling developer experience.",143,False,"Mar 03, 2023",143,Positive
162,ai code assistants,Medium,https://mediacurrent.medium.com/tool-or-threat-the-rise-of-ai-in-strategy-design-and-code-276d85b7bbc7,"Tool or Threat: The Rise of AI in Strategy, Design and Code",,"To start, I need to say that this article was written with the assistance of AI. It was not completely written by an AI (I’ll go into the details a little later on), but in creating this article, I wanted to illustrate both the promise of new AI-based tools and my belief that creators shouldn’t be afraid to use them to their advantage.",143,False,,143,Positive
163,ai code assistants,Medium,https://medium.com/@jaypeterman/coding-in-the-post-chatgpt-world-b0f2fca498d8,Coding in the Post ChatGPT World,,How AI coding assistants could shape the future of software development,142,True,,142,Positive
164,chatgpt AND code,Medium,https://melihyumak.medium.com/10-essential-chatgpt-prompts-every-developer-needs-to-know-5170d911a2b2,10 Essential ChatGPT Prompts Every Developer Needs to Know,,"AI has undoubtedly revolutionized various fields and industries, including software development. The recent surge in AI-driven tools like OpenAI’s ChatGPT offers developers an opportunity to streamline their tasks and enhance their software solutions. Understanding how to interact effectively with these tools can make a significant difference. Here are 10 essential ChatGPT prompts that every developer needs to know.",136,True,,136,Positive
165,chatgpt AND code,Medium,https://tinztwins.medium.com/luminous-the-german-alternative-to-chatgpt-5d0e7db9048c?source=user_profile---------7----------------------------,Luminous: The German Alternative to ChatGPT,Next-generation AI from Europe,"Everyone is talking about ChatGPT! But there is also a company from Europe that can rival OpenAI’s ChatGPT. We are talking about Aleph Alpha. The company has also developed a Large Language Model (LLM) like ChatGPT. The models are called Luminous. According to Aleph Alpha, Luminous is one of the most sophisticated AI language models in the world. Time to try it out.",136,True,,136,Positive
166,chatgpt AND code,Medium,https://maivankhanh.medium.com/i-asked-chatgpt-to-draw-and-display-charts-google-in-the-chatbox-no-need-to-paste-code-84e3e9fdcdeb,ChatGPT to draw and display charts (Google) in the chatbox — no need to paste code anywhere else.,,My prompt:,135,True,,135,Positive
167,ai code assistants,Medium,https://medium.com/analytics-vidhya/a-guide-to-your-own-a-i-voice-assistant-using-python-17f79c94704,A guide to your own A.I. Voice Assistant using Python !!,,"Have you ever wondered how cool it would be if you had your own virtual A.I. assistant ( just like J.A.R.V.I.S), imagine how easier it would be to send emails without typing a single word, searching on Wikipedia without actually opening the web browsers, and performing many other daily tasks with the help of a single voice command.",133,False,,133,Positive
168,chatgpt AND code,Medium,https://sophiamyang.medium.com/the-best-chatgpt-plugins-96ea60ccf5f8?source=author_recirc-----f23aca5b1ae8----1----------------------------,The Best ChatGPT Plugins,"Web browsing, summarizing, coding, and more","Just a few days ago, OpenAI made an exciting update by introducing web browsing and Plugins to all ChatGPT Plus users. I thought it might be a good time to delve into some of the plugins I find useful and discuss their use cases in web browsing, summarizing, coding, and more.",133,True,,133,Positive
169,ai code assistants,Medium,https://nurxmedov.medium.com/the-ultimate-list-top-100-ai-tools-in-2023-65c5ea1ccbd9,The Ultimate List: Top 100 AI Tools in 2023,"From speech recognition to image processing, we’ve got you covered with the latest and greatest AI tools for every need","A
rtificial intelligence is rapidly transforming the way we live and work, and it’s no surprise that the market for AI tools and technologies is booming. As businesses and individuals alike seek to harness the power of AI to streamline processes, automate tasks, and gain deeper insights, the demand for high-quality AI tools has never been higher. That’s why I’m excited to bring you the comprehensive list of the top 100 AI tools of 2023. From natural language processing to computer vision, from machine learning to deep learning, these tools represent the cutting edge of AI innovation and are sure to take your projects to the next level. So without further ado, let’s dive in and explore the exciting world of AI together.",131,True,,131,Positive
170,tabnine,Medium,https://amirbilu.medium.com/how-i-ended-up-debugging-google-clouds-cli-to-get-my-kubernetes-application-to-run-9adba1c78d9,How I ended up debugging Google Cloud’s CLI to get my Kubernetes application to run,,Here’s the story on how I debugged gcloud CLI.,131,False,,131,Positive
171,copilot,Medium,https://christianmartinezfinancialfox.medium.com/5-ways-to-use-microsoft-copilot-in-finance-and-fp-a-bc3a7447e2f8,5 ways to use Microsoft Copilot in Finance and FP&A,,"As the world of finance and FP&A (Financial Planning and Analysis) continues to evolve, technology has become an essential tool for professionals in the industry.",126,True,"Mar 17, 2023",126,Positive
172,ai code assistants,Medium,https://medium.com/gitconnected/starcoder-a-new-ai-model-that-surprised-me-on-coding-assistance-b49e9d334bcf,"StarCoder — A New AI Model, That Surprised Me on Coding Assistance",An Introduction and Development Guide for StarCoder,"From the beginning of the year 2023, the world of artificial intelligence has seen significant advances in natural language processing (NLP) models. These models have been trained on millions to billions of text samples, allowing them to learn the patterns and structure of human languages. Now, keeping pace with GPT-4 and Bard, these open models have started expanding beyond text and into code as well, with the development of open-source code models like StarCoder.",125,True,,125,Positive
173,chatgpt AND code,Medium,https://aniltilbe.medium.com/complete-chatgpt-guide-for-devsecops-top-20-most-essential-prompts-ef21e0aa4830?source=user_profile---------0----------------------------,Complete ChatGPT Guide for DevSecOps: Top 20 Most Essential Prompts,,"The most comprehensive, end-to-end guide: 20 prompts, and 20 subprompts for each, equaling 400 prompts in total",124,True,,124,Positive
174,chatgpt AND code,Medium,https://zivafajfar.medium.com/use-chatgpt-to-built-a-powerful-crypto-trading-bot-in-5-easy-steps-12ee983ce4f1?source=user_profile---------5----------------------------,Use ChatGPT To Build A Powerful Crypto Trading Bot In 5 Easy Steps,,"ChatGPT might not be able to predict the next 100x crypto gem (yet), but it has some very powerful use cases.",122,True,,122,Positive
175,chatgpt AND code,Medium,https://medium.com/towards-data-science/a-data-science-project-with-chatgpt-code-interpreter-e9beb8705dac,A Data Science Project with ChatGPT Code Interpreter,Build an end-to-end data science project with ChatGPT’s latest plugin.,"As someone who is currently juggling a full-time data science job with multiple freelance projects, I am usually the first to try tools that can potentially decrease my turnaround time.",122,True,,122,Positive
176,ai code assistants,Medium,https://ruslan-brilenkov.medium.com/9-ai-powered-chrome-extensions-that-will-blow-your-mind-165142f4a136?source=user_profile---------1----------------------------,9 AI-powered Chrome Extensions That Will Blow Your Mind,Productivity boosters I found out so you do not have to waste hours of your time. You are welcome.,"As a Data Engineer and a Data Scientist with more than half a decade of experience, I am keen on optimizing the flow and looking for more efficient ways of performing mundane tasks.",121,True,,121,Positive
177,ai code assistants,Medium,https://pinjarirehan.medium.com/will-unexpected-ai-change-the-growth-of-web-development-37ca602b3dc4?source=rss-------1,Will Unexpected AI Change The Growth Of Web Development?,,The combination of AI and technology has improved web development and changed how people interact with information on the internet.,121,False,,121,Positive
178,tabnine,Medium,https://techgigdotcom.medium.com/these-ai-coding-systems-are-as-good-as-human-programmers-329819c5de64,These AI coding systems are as good as human programmers,,"With everything being dependent on technology, the world of AI or artificial intelligence has also grown in the past few years. With the growth of machine learning and AI, the number of systems for coders has gradually increased.",121,False,,121,Positive
179,copilot,Medium,https://medium.com/young-coder/github-copilot-fatally-flawed-or-the-future-of-software-development-390c30afbc97,GitHub Copilot: Fatally Flawed or the Future of Software Development?,"Leaked secrets, broken licenses, and the perils of AI-assisted coding","E
ven for the tech world, the hype around GitHub Copilot is extreme. Its early invitation-only previews have stirred up a mix of excitement, paranoia, and panic. On the plus side, Copilot makes surprisingly astute how-did-you-read-my-mind predictions. Even its critics are often amazed when it suggests an eerily accurate block of code, based on seemingly trivial details like variable names and comments. Here’s one of countless examples:",119,True,"Jul 19, 2021",119,Positive
180,codewhisperer,Medium,https://medium.com/@rushikeshwagh401/amazon-code-whisperer-for-coding-e995397d67aa?source=rss-------1,Amazon code whisperer for coding,,"Amazon CodeGuru is a suite of developer tools powered by machine learning and artificial intelligence that helps developers write better code. One of the tools in this suite is called CodeGuru Reviewer, formerly known as CodeGuru Reviewer. CodeGuru Reviewer is an automated code review service that uses machine learning to detect and flag issues in code, such as resource leaks, concurrency issues, and security vulnerabilities.",117,False,"Apr 18, 2023",117,Positive
181,tabnine,Medium,https://osapishchuk.medium.com/2021s-best-development-tools-for-b2c-commerce-cloud-developers-7d20f319ffd9,2021’s Best Development Tools for B2C Commerce Cloud Developers,Make your dreams come true with the ultimate tool kit.,"During 2020, I was working almost every working day without taking a vacation. I took two weeks off during the Christmas holiday season so that I could spend some time with my family and do personal stuff I was postponing the whole time. Usually, it would be about chugging mugs of cocoa, stuffing my face with cookies, and attempting to fulfill my life-long goal of memorizing every single line of Harry Potter. As you can imagine now, I was not able to focus only on cocoa and cookies…",117,False,,117,Positive
182,copilot,Medium,https://medium.com/geekculture/how-to-get-github-copilot-for-100-free-d25c3b8c3ba4,How to get Github Copilot for 100% free,,"I believe most of you know what Github Co-pilot is, in case you don’t, below is the explanation.",116,False,"Jul 02, 2022",116,Positive
183,copilot,Medium,https://marsibarsi.medium.com/mastering-github-copilot-as-a-developer-15-tips-and-tricks-1f76bdac8cdd,Mastering GitHub Copilot as a developer: 15 Tips and Tricks,,I have been an active user of Github Copilot for the last two years and I really like the way it improves my work with code and tech texts.,116,True,"Jun 21, 2023",116,Positive
184,tabnine,Medium,https://grantpeach.medium.com/my-pycharm-setup-ce9508c4f118?source=rss-80981f1d2e61------2,My PyCharm Setup,"Themes, Plugins & More","I use PyCharm Professional everyday at work and at home for my personal coding projects, it’s by far my go to IDE and I don’t know how I would cope without it now.",116,False,,116,Positive
185,copilot,Medium,https://medium.com/geekculture/is-github-copilot-really-going-to-take-our-jobs-91be1887e38e,Is GitHub Copilot really going to take our jobs?,,"For those of you that don’t know, GitHub Copilot is a code completion AI with the ability to understand the context of the file that you’re in, and make specific suggestions for what code to write. Say I need a function that takes two numbers, multiplies them together, and returns the square root of the product. I just make a comment giving some context, start typing out the function, and bam! I get a completion for what I’m looking for:",115,False,"Nov 28, 2021",115,Positive
186,chatgpt AND code,Medium,https://alpha2phi.medium.com/modern-neovim-ai-coding-f1eef8fe829a,Modern Neovim — AI Coding,Pair programming using artificial intelligence.,"AI-assisted coding is an evolving field and can greatly improve developer productivity. In this article, we will explore AI coding with Neovim.",114,True,,114,Positive
187,codewhisperer,Medium,https://onexlab-io.medium.com/aws-codewhisperer-setting-up-for-visual-studio-code-54c65589f960,AWS CodeWhisperer Setting Up For Visual Studio Code,,"In this article, we will show you how you can set up AWS CodeWhisperer for Visual Studio code.",114,True,,114,Positive
188,tabnine,Medium,https://jakub-kozak.medium.com/10-best-vs-code-extensions-for-development-with-react-bb1bc9851818,10 Best VS Code Extensions for Development with React,Improve your developer experience with JavaScript and TypeScript,"Welcome to the list of VS Code extensions for increasing your productivity and making your developer experience better during everyday development with React. It is also worth mentioning that many of these extensions are not limited only to JavaScript, TypeScript or React.",113,True,,113,Positive
189,chatgpt AND code,Medium,https://saneryee-studio.medium.com/chatgpt-weekly-news-e4-e0a59982b4b6,ChatGPT Weekly News: E4,Bringing you the latest news on ChatGPT things and AI this week,"In the era of ChatGPT, evolution is calculated in days. Every day, many disruptive and innovative AI products are born, and some of them will revolutionize the industry they are in. This article will summarize the news of ChatGPT-related products that appeared this week and my personal opinion for my subscribers (Note: this article is not generated by ChatGPTs)",112,True,,112,Positive
190,tabnine,Medium,https://diakingdev.medium.com/5-extensions-vscode-for-c-developer-eafef33a5c59,5 extensions VsCode for C# developer,,As a developer c# when you are familiar with Visual Studio IDE or Rider it may be difficult for you to code in Vscode if you don't have these extensions. Here are my five favorite extensions in Vscode.,111,True,,111,Positive
191,chatgpt AND code,Medium,https://aniketz.medium.com/googles-end-is-near-because-of-chatgpt-64573d8b4d46?source=user_profile---------0----------------------------,Google’s End Is Near Because of ChatGPT?,The new ChatGPT is a revolutionary technology built to provide conversational responses to your Search,The end of 2022 brought us a very interesting and revolutionary terminology called as ChatGPT. No doubt there is a lot of hype going around this technology everywhere.,110,True,,110,Positive
192,codewhisperer,Medium,https://medium.com/codex/how-to-use-ai-as-a-software-developer-6ec99d129ef0,How to use AI as a software developer?,,"In this article, we discuss ChatGPT 3.5, its advantages and disadvantages, data security, and hallucinations. How can I be more effective in my prompting? How do I set up ChatGPT? Also, OpenAI Codex, ChatGPT 4, Github Copilot X, Tabnine, Google Duet AI, and Google Bard are all explained.",110,False,,110,Positive
193,copilot,Medium,https://link.medium.com/pxsOsKvIQhb,"GitHub Copilot Is Super Cool, and It Isn’t a Threat to Developers’ Jobs",Software developers are here to stay,"The new GitHub Copilot is super cool and the hype behind it is reasonable. After a couple of hours of playing with it and reading about it, however, I quickly realized that it is just a cool tool and not a threat. In fact, I keep asking myself which problems it will actually solve and how much we developers should care.",109,True,"Jul 12, 2021",109,Positive
194,codewhisperer,Medium,https://medium.com/@abutahirism/experiencing-the-all-new-amazon-codewhisperer-7dc588faf2b3?source=post_internal_links---------6----------------------------,Experiencing The All New Amazon CodeWhisperer!,,"Now for the AWS enthusiasts, Amazon announced the launch of the CodeWhisperer at the re:Mars conference on June 23, 2022!",108,False,,108,Positive
195,chatgpt AND code,Medium,https://andriidrozdov.medium.com/chatgtp-vs-leetcode-82bf194894a6,ChatGPT vs LeetCode,Is ChatGPT that good and can really help developers solve tasks? Today we’re going to find out it by facing the LeetCode task with ChatGPT.,"Hello, my favourite bit lovers.",106,False,,106,Positive
196,copilot,Medium,https://ishaangupta1201.medium.com/github-copilot-centering-a-div-7c31d72097fe,Can Github Copilot Center a div?,I asked Github Copilot to center a div! Can it do it? Let’s see…,Code :,106,False,,106,Positive
197,chatgpt AND code,Medium,https://aneesha.medium.com/chatgpt-and-markdown-formats-generating-all-sorts-of-editable-diagrams-and-formats-4a8f2ab4f16b,ChatGPT and Markdown formats — Generating all Sorts of Editable Diagrams and Formats,,"This is a rapidly pulled-together blog post, mainly to share the results of getting ChatGPT to output Markdown. Markdown can be edited and via extension formats rendered as diagrams, charts and maps (e.g. mermaid.js, Kroki, ArgDown), providing a more visual way to share ChatGPT output.",105,False,,105,Positive
198,copilot,Medium,https://medium.com/analytics-vidhya/github-copilot-all-you-need-to-know-8e6fc1d5ccc,GitHub Copilot: All you need to know,,Hello reader!,104,False,"Jul 11, 2021",104,Positive
199,codewhisperer,Medium,https://cmani.medium.com/using-amazon-rekognition-custom-labels-to-detect-idlis-car-models-and-more-a87057c9332f,"Using Amazon Rekognition Custom Labels to detect Idli’s, Car models and more ;-)",,"A
WS recently announced “Amazon Rekognition Custom Labels” — where “ you can identify the objects and scenes in images that are specific to your business needs. For example, you can find your logo in social media posts, identify your products on store shelves, classify machine parts in an assembly line, distinguish healthy and infected plants, or detect animated characters in videos.” — https://aws.amazon.com/blogs/machine-learning/announcing-amazon-rekognition-custom-labels/",103,False,"Dec 12, 2019",103,Positive
200,copilot,Medium,https://dpereirapaz.medium.com/github-copilot-a-rise-and-fall-story-for-the-software-engineering-industry-524c83694136?source=post_page-----6cc124c8182b----4----------------------------,GitHub Copilot. A Rise and Fall Story for the Software Engineering Industry,"GitHub and OpenAI have announced Copilot, an AI assistant that can assist coders by generating or autocompleting code for their software solutions. What does this mean for the software engineering industry?","It was mid June 2021 when Sam Altman, OpenAI’s CEO, published a tweet in which he claimed that AI was going to have a bigger effect on jobs that take place in front of a computer much faster than those happening in the physical world:",102,False,"Jun 30, 2021",102,Positive
201,ai code assistants,Medium,https://medium.com/@stringmeteor/chatgpt-the-ai-assistant-that-can-run-and-debug-your-code-8bf8476496f2,ChatGPT: The AI Assistant That Can Run and Debug Your Code,Will AI revolutionize development by debugging code in our place?,"As
probably many of you reading this piece already know, GPT is a large-scale language model developed by OpenAI that uses deep learning techniques to generate human-like text, and can be used for a variety of natural language processing tasks, such as translation, summarization, and text generation. Recently, ChatGPT, a new entry in the OpenAI GPT models lineup, was released as an open beta, freely accessible to everyone after signing up on the website. This gives users the opportunity to experiment with the chatbot and create virtual assistants that can engage in human-like conversation and perform a variety of complex tasks, many of which were not thought to be easily carried out by a language model in the near future. The model has been optimised for conversational language, but has since shown to be just as capable as the other members of the family, with the main difference being its ease of access and interaction, perhaps what has been lacking until now to make the headlines.",102,True,,102,Positive
202,copilot,Medium,https://jonthanfielding.medium.com/why-i-disagree-with-github-copilot-naysayers-62a43cce6329?source=user_profile---------15----------------------------,Why I Disagree with GitHub Copilot Naysayers,,"Today I was reading Medium and I came across several articles that talked about how you should avoid using GitHubs new Copilot feature. For an industry that is always keen to try new things I was surprised to see so much negativity for what is, at the moment a mere technical preview of a new technology the GitHub team is working on.",102,True,,102,Positive
203,copilot,Medium,https://keypressingmonkey.medium.com/i-almost-uninstalled-the-coding-plugin-that-saves-me-hours-of-time-690e5daad033?source=user_profile---------7----------------------------,I Almost Uninstalled The Coding Plugin That Saves Me Hours Of Time,And it only got to stay after I learned of a hidden config option,Welcome!,101,True,,101,Positive
204,ai code assistants,Medium,https://anishsinghwalia.medium.com/build-your-personal-chatgpt-bot-with-streamlit-and-openai-apis-84a05ab6929b?source=rss-------1,Personal ChatGPT Bot with Streamlit: Build Your AI Assistant Web app,,"Streamlit is an open-source Python library that makes it easy to create and share beautiful, custom web apps for machine learning and data science. You can build and deploy powerful data apps in just a few minutes. So let’s get started!",100,False,,100,Positive
205,codewhisperer,Medium,https://medium.com/gptalk/ai-announcements-week-of-april-10-16-c54fd237ec47,"Recap of AI Developments: April 10–16, 2023",,,100,False,,100,Positive
206,tabnine,Medium,https://pieces.medium.com/pieces-for-jetbrains-global-search-sort-via-suggestions-reference-reuse-share-saved-materials-a9b303b78d7a,"Pieces for JetBrains: Global Search, Sort via Suggestions, Reference, Reuse & Share Saved Materials",,"Along with quick save in your IDE and AI-generated metadata for every code snippet saved, Pieces for Developers ships with a first-in-kind TLP Query Engine built to efficiently run entirely on-device. Search and Suggestion results rank on a blend of code similarity, recent activity, tags, descriptions, related people, related links, and more. Search based on your preferences and personalize how you find your snippets inside JetBrains or within the Pieces for Developers app.",99,False,,99,Positive
207,ai code assistants,Medium,https://aurosikha.medium.com/8-ways-hoteliers-are-employing-virtual-assistants-to-woo-customers-e9e0db3ab07a?source=user_profile---------20----------------------------,8 Ways Hoteliers are Employing Virtual Assistants to Woo Customers,,"In today’s digital world, customers expect business owners and entrepreneurs to leverage the use of technology in providing top-of-the-line satisfaction and tech-driven guest experiences experience for customers.",98,False,,98,Positive
208,tabnine,Medium,https://metamark.medium.com/10-vscode-extensions-you-definitely-need-as-a-developer-cab2fd87b33f?source=user_profile---------38----------------------------,9 VSCode Extensions You Definitely Need as a Developer,"These extensions would help you to increase your productivity, improve your workflow and just make your VSCode look prettier!","VS Code is one of the most popular IDEs for almost any programming language. It’s simple, powerful, has a lot of cool features, and is made by Microsoft. So it’s an awesome tool for any developer, and if you’re not already using it, you should definitely check it out.",98,True,,98,Positive
209,chatgpt AND code,Medium,https://utomorezadwi.medium.com/how-to-utilize-chatgpt-to-succeed-in-your-job-applications-1a2ab57bc103,How to utilize ChatGPT to succeed in your job applications,,"The year 2022 is really tough. Many tech companies decided to lay off their employees. According to layoff.fyi, in 2022 alone, there are around 153,110 employees who lost their job in the world.",97,False,,97,Positive
210,chatgpt AND code,Medium,https://michaloleszak.medium.com/forget-about-chatgpt-f17a7f5089c3,Forget About ChatGPT,"Bard, Sparrow, and multimodal chatbots will render it obsolete soon, and here is why.","ChatGPT, the OpenAI chatbot released last autumn, has taken the Internet by storm. Arguably, no other machine learning model has ever made so many headlines outside of the AI community. It provides a near-human experience when talked to and can help many of us do our work faster: from SEO optimization to explaining and improving programming code, ChatGPT can do it all quickly and mostly correctly. Sure, it fails at logical reasoning, and you can convince it that two plus two is five, but it is still an amazing tool. It is my firm belief, however, that we will hardly remember it by the end of the year 2023. Other conversational AI tools are nigh, and they will be much more advanced.",97,True,,97,Positive
211,copilot,Medium,https://salmanbediya.medium.com/automate-your-flutter-code-with-github-copilot-3c5178f564a9,Automate your Flutter code with Github Copilot,,"Are you tired to do thousands of lines of code daily?
Do you want a robot who can code on your behalf?
Do you know about the Github copilot?",97,False,,97,Positive
212,ai code assistants,Medium,https://dbuschek.medium.com/chi23-preprint-collection-hci-ai-53e8a89de156,CHI’23 Preprint Collection HCI + AI,Looking for current research on HCI + AI? Here’s a list.,"Here’s a collection of CHI’23 preprints on topics related to computational HCI, data, algorithms, AI and related methodology, inclusively interpreted. It’s not a comprehensive list and in no particular order. Found via Mastodon, Twitter and arXiv. Suggestions welcome!",96,False,,96,Positive
213,chatgpt AND code,Medium,https://ishratumar.medium.com/with-chatgpt-maximize-your-development-potential-9df595873936,Maximize your development potential with ChatGPT,"Unlock methods for solving problems more quickly, and creatively, and boost your productivity","There are several ways in which ChatGPT can be helpful to developers. Here are some ways I use ChatGPT every day. You can also use it to speed up your development. You may have heard that developers will be replaced by AI. Although it’s unlikely to happen, I believe that “a person using AI will replace you.” Thus, it’s important to stay ahead of those who aren’t taking advantage of these tools.",95,False,,95,Positive
214,codewhisperer,Medium,https://senayktt.medium.com/use-amazon-codewhisperer-for-your-aws-security-c2bae31a4ccd,Use Amazon CodeWhisperer for Your AWS Security,,"Amazon CodeWhisperer is an AI code service that provides real-time code suggestions in your Integrated Development Environment (IDE) to help you quickly write your code. On April 13th, Amazon CodeWhisperer is generally available. There are two tiers, Individual and Professional. For the Individual tier, it’s free to use 🧐, and easy to integrate and I recommend enabling this cool service in your IDE if you did not yet. If you’re using the Individual tier, you can get code recommendations, reference tracking, and security scans for your project. You can use Amazon CodeWhisperer with Python, Java, JavaScript, TypeScript, C#, Go, Rust, Kotlin, Scala, Ruby, PHP, SQL, C, C++, and Shell Scripting.",95,False,,95,Positive
215,chatgpt AND code,Medium,https://solegaonkar.medium.com/chatgpt-a-revolution-b07deb874342?source=rss------machine_learning-5,ChatGPT — A Revolution,,"If you have been connected with the IT news over the last month, you have undoubtedly heard about ChatGPT — the new AI chatbot from OpenAI. As Andrew Ng rightly said, AI is the new electricity. It is set to revolutionize each aspect of our life, and ChatGPT will change the entire Software Development Life Cycle. It might just seal the fate of some developers. Application development speeds will zoom, and costs will fall drastically.",94,True,,94,Positive
216,chatgpt AND code,Medium,https://sonery.medium.com/chatgpt-code-interpreter-your-mentor-coworker-and-second-pair-of-eyes-3a2995d0ea31,"ChatGPT Code Interpreter: Your Mentor, Coworker, and Second Pair of Eyes",,Leverage the newest ChatGPT plugin.,92,True,,92,Positive
217,chatgpt AND code,Medium,https://andymcdonaldgeo.medium.com/openais-amazing-chatgpt-is-it-promising-for-niche-topics-fcee2328dbd8?source=user_profile---------30----------------------------,OpenAI’s Amazing ChatGPT: Is It Promising for Niche Topics?,Asking ChatGPT about Petrophysics,OpenAI has recently released their latest Artificial Intelligence (AI) chatbot prototype powered by a model from the GPT-3.5 series. It provides a service where you can ask questions and it comes back with a detailed answer in a conversational way. Almost as if you were talking to a human!,92,True,,92,Positive
218,chatgpt AND code,Medium,https://sonikamaheshwari067.medium.com/chatgpt-a-new-chat-bot-is-a-code-red-for-google-s-search-business-a05ef5c156c?source=user_profile---------5----------------------------,ChatGPT | A New Chat Bot Is a ‘Code Red’ for Google’s Search Business,,"● Generating responses in a chatbot or virtual assistant, to provide more natural and engaging interactions with users",92,False,,92,Positive
219,copilot,Medium,https://aidan-tilgner.medium.com/github-copilot-vs-openai-codex-which-should-you-use-ed67e53e00c0?source=user_profile---------8----------------------------,Should You Use GitHub Copilot or OpenAI Codex for AI Coding?,Is the AI pair programmer better than the natural language-to-code generational model?,"With the rise of more and more complex machine learning algorithms and models, comes fascinating new AI implementations. Ranging from automation of jobs in Amazon warehouses to predicting the stock market, AI is being trained to do tasks with more speed and accuracy than has ever been available to humans before.",91,False,"Oct 27, 2021",91,Positive
220,codewhisperer,Medium,https://medium.com/codex/aws-codewhisperer-vs-github-copilot-which-ai-powered-code-generator-is-better-9d0b2fa6ee68,AWS CodeWhisperer vs GitHub Copilot: Which AI-Powered Code Generator Is Better?,AI-Powered Code Generation Smackdown,"As software development surges, developers tirelessly seek ways to enhance their productivity and hasten their workflow. An option that has gained considerable attention in recent times is the utilization of AI-enabled code generators. Two of the tools that have made an impact in the industry are AWS CodeWhisperer and GitHub Copilot.",90,True,,90,Positive
221,codewhisperer,Medium,https://medium.com/@robustcloud/amazon-re-mars-machine-learning-automation-robotics-space-where-digital-meets-physical-c06ae8b9bbdc,"Amazon re:MARS (Machine Learning, Automation, Robotics, Space): Where Digital Meets Physical",,"This write-up covers the announcements made at the Amazon re:MARS event held in June 2022, followed by the implications of these new announcements to customers, competitors, and investors, and a summary.",89,False,"Jul 18, 2022",89,Positive
